prior_data,observed_data
19.15712931,19.4723
19.35753237,18.9147
21.65542276,19.2293
18.4679184,18.7417
18.83891041,17.4859
21.12008557,18.78
18.90937017,18.7583
17.34847155,17.9558
18.74044233,19.9281
24.02587197,18.6099
18.51091114,18.8558
16.15467407,18.6395
16.43939579,19.3362
19.95275538,19.3939
21.17718088,19.4991
21.11512102,19.8331
24.47185753,19.1278
20.89014652,18.875
19.48765286,19.4072
15.34013255,18.8666
,18.8486
,18.6525
,19.46
,18.6958
,18.729
,18.9782
,19.1108
,19.265
,18.4177
,18.8518
,18.737
,18.8363
,18.7323
,18.8121
,18.8529
,
,
,
,
,
,
,
,
,
,
,
,
,
,
